candidate_id,family,parameters_json,effective_parameters_json,score_orientation,pooled_reference_rows,engine_balanced_reference_rows,source_bundle,source_bundle_sha256
iforest_n200_ms_0p5,iforest,"{""max_samples"": 0.5, ""n_estimators"": 200}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_iforest_candidates.joblib,b57d5aa27c3bf696c4f8d6c9b077a1674f1fe96d6473c30d853b5610a5f5d10d
iforest_n200_ms_auto,iforest,"{""max_samples"": ""auto"", ""n_estimators"": 200}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_iforest_candidates.joblib,b57d5aa27c3bf696c4f8d6c9b077a1674f1fe96d6473c30d853b5610a5f5d10d
iforest_n400_ms_0p5,iforest,"{""max_samples"": 0.5, ""n_estimators"": 400}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_iforest_candidates.joblib,b57d5aa27c3bf696c4f8d6c9b077a1674f1fe96d6473c30d853b5610a5f5d10d
iforest_n400_ms_auto,iforest,"{""max_samples"": ""auto"", ""n_estimators"": 400}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_iforest_candidates.joblib,b57d5aa27c3bf696c4f8d6c9b077a1674f1fe96d6473c30d853b5610a5f5d10d
lof_k20,lof,"{""n_neighbors"": 20, ""novelty"": true}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_lof_candidates.joblib,fd5d59de819618e9b2b4bd63f4e3584122d690d9258f920a22bffa2037aa5194
lof_k35,lof,"{""n_neighbors"": 35, ""novelty"": true}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_lof_candidates.joblib,fd5d59de819618e9b2b4bd63f4e3584122d690d9258f920a22bffa2037aa5194
lof_k50,lof,"{""n_neighbors"": 50, ""novelty"": true}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_lof_candidates.joblib,fd5d59de819618e9b2b4bd63f4e3584122d690d9258f920a22bffa2037aa5194
ocsvm_nu0p01_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.01}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
ocsvm_nu0p01_gamma_scale,ocsvm,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.01}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
ocsvm_nu0p05_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.05}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
ocsvm_nu0p05_gamma_scale,ocsvm,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.05}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
ocsvm_nu0p1_gamma_0p01,ocsvm,"{""gamma"": 0.01, ""kernel"": ""rbf"", ""nu"": 0.1}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
ocsvm_nu0p1_gamma_scale,ocsvm,"{""gamma"": ""scale"", ""kernel"": ""rbf"", ""nu"": 0.1}",{},larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_ocsvm_candidates.joblib,9da172d01659b8a0715b0d3cdeac21fa56b81cd499d20d33ef35d08955a285a1
pca_evr0p9,pca,"{""evr_target"": 0.9}","{""achieved_evr"": 0.9098920289519654, ""n_components"": 12}",larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_pca_candidates.joblib,1885993757a5a6efb9763a9c951cc3f059ade6803643f3e227448001dd7ab5cb
pca_evr0p95,pca,"{""evr_target"": 0.95}","{""achieved_evr"": 0.9539251888541557, ""n_components"": 14}",larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_pca_candidates.joblib,1885993757a5a6efb9763a9c951cc3f059ade6803643f3e227448001dd7ab5cb
pca_evr0p99,pca,"{""evr_target"": 0.99}","{""achieved_evr"": 0.9901620525540537, ""n_components"": 16}",larger_is_more_abnormal,1820,432,artifacts/models/FD001_anomaly_pca_candidates.joblib,1885993757a5a6efb9763a9c951cc3f059ade6803643f3e227448001dd7ab5cb
